"","AC001A","AC002A","AC004A","AC013A","AC014A","AC014B","AC014C","AC017A","AC018A","AC019A","AC022A","AC025A","AC028A","AC029A","AC030A","AC034A","AC035A","AC039A","AC042A","AC044A","AC046A","AC048A","AC9964","AC9965","AC9968","AC9969","AC9975","AC9996","AM001A","AM001B","AM001D","AS001A","AS003A","AT001A","AU001C","AU002A","AU003B","AU003D","AU004A","AU004B","AU004C","AU004D","AU005A","AU005B","AU005D","AU005E","AU005J","AU005L","AU009A","AU009B","AU010A","AU010B","AU014A","AU022A","AU023A","AU9983","AU9984","AU9987","AU9988","BR001A","BR003A","BR004A","BR005A","BR006A","BR9997","CA018A","CC001A","CM004A","CM010A","CM013A","CM014A","CM015A","CM015B","CM017A","CM020A","CM031A","CM031C","CM038A","CM048A","CM050A","CM051A","CM052A","CM101B","CM9989","CM9995","CO001A","CO001B","CY001A","CY002A","CY003A","CY004A","CY007A","CY010A","CY013A","CY9991","DE001A","DT002A","DT003A","DT004B","EU002A","EU002B","EU002D","EU002E","EU002K","EU003A","EU004A","EU009A","EU009C","EU011A","EU013A","EU014A","EU015A","EU016A","EU017A","EU019A","EU020A","EU021A","EU022A","EU025A","EU027A","EU028A","EU028B","EU031A","EU034A","EU039A","EU040A","EU046C","EU047A","EU048A","EU049A","EU049B","EU051A","EU051B","EU056A","EU057A","EU058A","EU9961","EU9962","EU9965","EU9969","FR001A","FR001B","FR002A","FR002C","FR005A","FR005D","FR006A","FR007A","FR008A","FR009F","FR010A","FR011A","FR015A","FR018A","FR9991","FU002A","FU002B","FU002F","GO003A","GO004A","GO006C","GO013A","GO023A","GO025B","GO025F","GY005A","HN001A","ME019A","NA002A","NA003A","NA003B","NA005A","NA005B","NA006A","NA006B","NA007A","NA008A","NA013A","NA014A","NA015A","NA016A","NA032A","NA033A","NA037A","NA038A","NA042A","NA043A","NA044A","NA045A","NA046A","NA048A","NA063A","NA068A","NA084A","NA086A","NA099A","NA101A","NA102A","NA112D","NA113A","NA114A","NA115A","NA129A","NA133A","NA135A","NA140A","NA149A","NA151A","NA156A","NA158A","NA160A","NA167A","NA170A","NA9904","NA9919","NA9955","NA9963","NA9964","NE003A","NE003B","NE003C","NE004A","NE012A","NE020A","NE023A","NI002A","NI005A","NI008A","NI009A","NI009B","NI017A","NI021A","NI026A","NI027A","NI152A","NI9984","OP001A","PE002A","PI005A","PI007A","PI011A","PI014A","PI015A","PI016A","PI018A","PI018B","PI022B","PI023A","PI055A","PI056A","PI139A","PI164A","RH006B","SA001A","SA001B","SA006A","SA042A","SE001A","SP002A","ST004A","ST010A","SU002A","SU004A","SU005A","SU006A","SY002A","SY003A","SY004A","SY009A","SY010A","SY013A","SY043A","TA001A","TA002A","TA003A","TA004A","TA9996"
"181",0,0,0,13.6,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,0,0,0,4.2,0,0,0,0,0.6,0,0,2.6,0,0.4,0,0.4,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0.2,0,0,0,0,0,0.8,0,0,1.4,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.4,8,0.2,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0.4,0,0,0,0,0,0,0,0.4,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0.2,0.6,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0.4,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0
"19.21",0,0,0,0.49,0,0,1.31,1.15,0,1.81,3.28,0,0,0.49,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,4.11,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0.99,0,0,0,0,4.11,0,0,0,0,0.16,0,0,0.16,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.93,0,0,0,0,0,0.16,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.66,6.24,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0.66,0,0,0,0,0.33,4.43,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,6.9,0,0.16,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,1.48,0,0,0.33,0,0,0,0,0,1.64,0,0,0,0,0,0,0,3.45,0,2.13,0,0,0.16,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0.99,0,0,0,0
"2.11",0,0,0,1.06,0,0,2.82,0.18,0,0.18,7.57,0,0,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,4.93,0.35,0,6.87,0,0,0,0,0.18,0,0,0,0,0.53,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99,0,0,0,0,0,0.18,0,0,0,0.18,2.29,5.46,0,0,0,0.18,0.18,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,7.75,3.7,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0.18,0,0,0,0,0.18,0,0,1.41,5.63,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,1.59,0,0.53,0,0,0,0,0,0.18,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0.18,0,0,6.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,1.94,0,0,1.06,0.53,0.7,0,0,0,0,0,0,0,0,1.94,0,0,0,0,0,0.53,1.23,0,0,0,0,0,0.88,0,0,0,0,0,0,0,7.22,0,0.18,2.64,0
"20.11",0,0,0,5.24,0,0,0.18,0,0,5.6,0.72,0,0,0,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,1.99,0,0,0,0,0,0,0,0,0,0.9,0,1.08,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0,0,0,2.71,0,0,0,0,0,0,0,0,0,0.18,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,2.17,0,0,0,0.18,0,1.08,0.18,0,0,0.36,0,0,0,4.51,0.9,0.36,0,0,0,0,0,1.26,0,0,0,0,0.9,3.25,1.26,0,12.27,0,0,0,0.54,0,0,0,0,0.18,0.18,0,0,0,0,0,0.36,0,0,0,0,0,0,2.89,0,0.9,0.18,0.18,0,0,0,8.48,0,0,0,0.72,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.94,0,0,0,0.6,0,4.98,1.79,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1.2,0,1.59,0,2.99,1.59,0,0,0,1.2,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0.2,0,0,0,0,0.6,0.8,0,0.6,0,0.4,0.2,0,0,0.2,0.2,0,0,0.4,0,0.6,0,0,0,0,0,0,3.19,0.4,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,11.75,18.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.2,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0.2,6.57,0
"21.11",0,0,0,4.3,0,0,0.66,0,0,0,0.99,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0.17,0.5,0,4.64,0,0,0,0,0.33,0,0,0,0,0,0,0.5,0.5,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0.66,0.99,0,0,0.33,0,0.33,1.66,0,0,0,0,0.5,0.33,0.5,0,0.5,0.5,0,0.33,0.33,0.33,0,0,0,0,0,0,5.13,0.33,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0.66,0,0,0,0,1.33,0,0,2.32,8.94,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0.66,0,0,0,0,0,0,0,2.48,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.32,0.33,0,0,0,0,0,0,1.82,0,0,0.33,0,0.17,0,0.83,0,0,0,0,0.17,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0.17,2.65,0,0.17,0,0,0.17,2.82,20.2,0,0,0,0
"3.11",0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,6.52,0,0,2.01,0,0,0,0,1.67,0,0.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,1.5,0,0,1,0,0.67,0.67,0,0,0,0.67,0.67,0,0,0,0,0,0,0,0,0.33,0,0,0.33,0,0,0,4.35,0.67,0,0,1.34,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69,14.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,2.01,0,0,4.51,0,0,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0.33,0,0,0,0.84,0,1.17,0,0,0,0,0,0,0,0,0,0.17,7.69,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,1.34,0,8.03,3.68,0
"3.511",0,0,0,5.17,0,0,0,0.17,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,72.33,0,0,0,0.33,0.17,0.17,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0.83,0,0,0,0
"34.11",0,0,0,0.34,0,0,15.13,0,0,0,6.39,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,5.55,0,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,1.35,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,3.7,0,8.91,0,0,0,0,0,0,0,0,0,0,0,0,2.52,1.68,0,0,0,0,0,0,6.89,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0.17,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,2.86,0,0,0,0
"37.11",0,0,0,17.3,0,0,1,3.16,0,1.33,0,0,0,0,0,0,0,0,0,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0.17,0,0,0.33,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.98,0,0.17,0,0,0.17,0.33,0,0,0,0,0,0.17,0,0,0.17,0,0,0,0,0,0.17,0,0,0.33,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0.67,0.17,0,0,0,0.17,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.16,0,0,0,0,0,0,0,0,0.33,0,0,0.17,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,1.16,0,0,0,0,0.17,0,9.32,0,0,0,0
"4.11",0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05,0,0,0,0,0,0,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,3.1,0,0,0,0,0,0,0,0,0,0.16,0,0.31,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,4.34,0,0,0,0,1.24,0.31,0,0,0,7.6,0.31,0,0,0,0.62,0,0,0,0,0.31,0,0,0,2.02,0,0,3.88,1.24,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,3.88,2.17,5.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,5.12,0,0,0,0,0,0,0,0,0,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,10.7,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,11.32,0,0
"42.11",0,0,0,0,0,0,5.97,0,0,0.17,7.46,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.33,0,0,1.66,0,0,0,0,0.83,0,0,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0.17,3.81,6.47,0,0,0,0.17,0.83,0,0,0,0,0,0,0.33,0.17,0,0,0,0.33,0.17,0,0,11.61,2.49,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0.83,0,0,3.48,0,0,0,0,0,0,0.17,0.17,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0.33,0,0.17,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.17,0,0,0,0,0,0,0,16.42,0,0.83,1.82,0
"44.21",0,0,0,4.14,0,0,0.17,0,1.38,1.38,1.03,0,0.17,0,0,0.17,0,1.03,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0.69,0,0,0.34,0,0,0,1.55,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0.17,1.03,0,0,9.48,0,0,0,0,0,0,0,0,0.17,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,2.41,0,0,0,0.17,0,0,0,0,0,1.03,0,0,0.17,0.69,1.38,0,0,0,0,0,0,0,0,0,0,0,1.21,1.21,0,0,3.62,0,0,0,1.21,1.38,0,0,0.17,0,2.41,0,0,0,0,0,0.34,0,0,0,0,0,0.34,3.45,0,0.69,0.69,2.76,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0,1.38,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0
"49.11",0,0,0,0.34,0,0,4.07,0.51,0,0,16.13,0,0,0,0,0,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,6.11,0,0,0,2.72,0,0,0,0.85,3.06,0,0.17,0,0,0.85,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,6.62,0,0,0,0,3.23,0,0,0,0,0.34,1.53,0.85,0,0,0.34,0.51,0.34,0.34,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,2.89,3.23,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,0,0,0,0,0,0,0,0.17,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,6.11,0,0,1.02,0,0.68,0,0.68,0.17,0.17,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0.17,0.17,0.51,0,0,0,0,0,0,0,2.89,0,1.53,0.17,0
"5.11",0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,5.52,0.17,0,3.79,0,0,0,0,0.86,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,1.55,0,0,0,0.69,0,2.76,0,0,0,1.55,1.21,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,2.24,3.79,10.35,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,2.07,10.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,10.86,0,0,8.79,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,3.45,0,0,0,0,0,0,0,0.52,0.17,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0.34,0,8.45,6.55,0
"59.11",0,0,0,0.62,0,0,16.5,0,0,0,27.42,0,0,0,0,0,0,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.04,0,0,0,0,0,0,8.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,0,0,1.03,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,1.24,0,0,0,8.66,0,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0.21,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0
"6.21",0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,2.43,0,0.15,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.76,0,0,3.95,0,0,0,0,0.61,0,1.06,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0.15,0.15,0,0,0,0,0.76,3.49,0,0,0,0.61,1.98,0,0,0,0.3,0,0,0,0,0,0,0,0,0.3,0,0,7.14,3.95,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,1.37,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,5.01,0,0,11.09,0,0,0,0,0,0,0.15,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0.3,0,0.15,0.3,0,0,0,0,0,0,0,0,0,0,0.3,3.19,0.15,0,0,0,0,0,0.76,0,0,0,0,0,0,0,5.01,0,4.26,3.49,0
"601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.45,0,0,0.83,0,0,0,0,0,0,0.33,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,4.32,0.17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.16,6.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0.5,7.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0.17,0,0,0,0,0,0.17,0,0,0,0,0,0,0.17,0,0,0,24.75,0.17,0,0,0,0,0,0.33,0,0,0,0,0,0.17,0,0,0,0.83,0,0
"61",0,0,0,0,0,0,0,0,0,0,8.65,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1.41,0,0,0,0.2,0,0,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,3.42,0,0,2.01,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,1.01,0,0.81,0,0.2,0,0,0,0,0.81,0,0,0,0.4,0.2,0,0,0,0.2,0,0,4.63,1.21,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.86,1.21,8.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.4,0,0,1.81,0,0,8.65,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.2,0,0,0,0,0,0,0,7.04,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,11.47,1.21,0
